Channel:Channel1
Capture Time:2025-01-14 13:44:02.378
Length:39400
Sample Rate:5kSa/s
Interval:200us
Time Base:500ms/div
Delay:0s
Vertical Sensitivity:20V/div
Vertical Offset:-800mV
ch1_time(s),ch1_value(V)
-3.8756,-3.2
-3.8754,-4
-3.8752,-4
-3.875,-4
-3.8748,-4
-3.8746,-3.2
-3.8744,-3.2
-3.8742,-2.4
-3.874,-1.6
-3.8738,-0.8
-3.8736,0
-3.8734,0.8
-3.8732,0.8
-3.873,2.4
-3.8728,3.2
-3.8726,3.2
-3.8724,4
-3.8722,5.6
-3.872,5.6
-3.8718,6.4
-3.8716,6.4
-3.8714,6.4
-3.8712,6.4
-3.871,6.4
-3.8708,6.4
-3.8706,5.6
-3.8704,4.8
-3.8702,4.8
-3.87,4
-3.8698,3.2
-3.8696,2.4
-3.8694,2.4
-3.8692,2.4
-3.869,0.8
-3.8688,0.8
-3.8686,0.8
-3.8684,0
-3.8682,0
-3.868,0
-3.8678,0
-3.8676,-0.8
-3.8674,0
-3.8672,0
-3.867,0
-3.8668,-0.8
-3.8666,-0.8
-3.8664,-0.8
-3.8662,0
-3.866,-0.8
-3.8658,0
-3.8656,0
-3.8654,-0.8
-3.8652,0
-3.865,-0.8
-3.8648,-0.8
-3.8646,0
-3.8644,0
-3.8642,-0.8
-3.864,-1.6
-3.8638,-0.8
-3.8636,-0.8
-3.8634,-0.8
-3.8632,-0.8
-3.863,0
-3.8628,-0.8
-3.8626,0
-3.8624,0
-3.8622,0
-3.862,0
-3.8618,0
-3.8616,0
-3.8614,-0.8
-3.8612,0
-3.861,0
-3.8608,0
-3.8606,0
-3.8604,0
-3.8602,0
-3.86,0
-3.8598,0
-3.8596,0
-3.8594,0
-3.8592,0
-3.859,0.8
-3.8588,0.8
-3.8586,0.8
-3.8584,0.8
-3.8582,0.8
-3.858,0.8
-3.8578,0.8
-3.8576,0.8
-3.8574,1.6
-3.8572,0.8
-3.857,1.6
-3.8568,1.6
-3.8566,1.6
-3.8564,2.4
-3.8562,0.8
-3.856,0.8
-3.8558,0.8
-3.8556,1.6
-3.8554,2.4
-3.8552,0.8
-3.855,0.8
-3.8548,0.8
-3.8546,0.8
-3.8544,0.8
-3.8542,1.6
-3.854,0.8
-3.8538,1.6
-3.8536,0.8
-3.8534,0.8
-3.8532,0.8
-3.853,1.6
-3.8528,0.8
-3.8526,0.8
-3.8524,0.8
-3.8522,0.8
-3.852,0.8
-3.8518,0.8
-3.8516,0.8
-3.8514,0.8
-3.8512,0.8
-3.851,0
-3.8508,0.8
-3.8506,0
-3.8504,0.8
-3.8502,0.8
-3.85,0
-3.8498,0.8
-3.8496,0.8
-3.8494,0
-3.8492,0
-3.849,0
-3.8488,0
-3.8486,0
-3.8484,0
-3.8482,0
-3.848,0
-3.8478,-0.8
-3.8476,-0.8
-3.8474,-0.8
-3.8472,-0.8
-3.847,-0.8
-3.8468,-0.8
-3.8466,-0.8
-3.8464,-0.8
-3.8462,-0.8
-3.846,-0.8
-3.8458,-1.6
-3.8456,-2.4
-3.8454,-2.4
-3.8452,-1.6
-3.845,-2.4
-3.8448,-3.2
-3.8446,-3.2
-3.8444,-3.2
-3.8442,-3.2
-3.844,-3.2
-3.8438,-3.2
-3.8436,-2.4
-3.8434,-3.2
-3.8432,-3.2
-3.843,-3.2
-3.8428,-4
-3.8426,-4
-3.8424,-4.8
-3.8422,-4.8
-3.842,-4.8
-3.8418,-4
-3.8416,-3.2
-3.8414,-4.8
-3.8412,-4
-3.841,-4
-3.8408,-5.6
-3.8406,-5.6
-3.8404,-5.6
-3.8402,-4.8
-3.84,-4
-3.8398,-4
-3.8396,-3.2
-3.8394,-3.2
-3.8392,-3.2
-3.839,-3.2
-3.8388,-2.4
-3.8386,-1.6
-3.8384,-1.6
-3.8382,-0.8
-3.838,-0.8
-3.8378,-0.8
-3.8376,0
-3.8374,0
-3.8372,0
-3.837,0
-3.8368,0
-3.8366,0
-3.8364,0
-3.8362,0
-3.836,0
-3.8358,0
-3.8356,0.8
-3.8354,0.8
-3.8352,0.8
-3.835,0.8
-3.8348,0
-3.8346,0
-3.8344,0
-3.8342,0
-3.834,0.8
-3.8338,0.8
-3.8336,0.8
-3.8334,0
-3.8332,0.8
-3.833,0.8
-3.8328,0.8
-3.8326,0
-3.8324,0.8
-3.8322,0.8
-3.832,0.8
-3.8318,0
-3.8316,0
-3.8314,0.8
-3.8312,0.8
-3.831,0
-3.8308,0
-3.8306,0.8
-3.8304,0
-3.8302,0.8
-3.83,0
-3.8298,0
-3.8296,0
-3.8294,0
-3.8292,0
-3.829,0
-3.8288,0
-3.8286,0
-3.8284,0
-3.8282,0
-3.828,0
-3.8278,0
-3.8276,0
-3.8274,0
-3.8272,0
-3.827,-0.8
-3.8268,0
-3.8266,-0.8
-3.8264,-0.8
-3.8262,0
-3.826,0
-3.8258,-0.8
-3.8256,-0.8
-3.8254,-0.8
-3.8252,0
-3.825,-0.8
-3.8248,-0.8
-3.8246,-0.8
-3.8244,-0.8
-3.8242,-0.8
-3.824,-0.8
-3.8238,-0.8
-3.8236,-0.8
-3.8234,-0.8
-3.8232,-0.8
-3.823,-0.8
-3.8228,-0.8
-3.8226,-0.8
-3.8224,-0.8
-3.8222,-0.8
-3.822,-0.8
-3.8218,0
-3.8216,0
-3.8214,-0.8
-3.8212,0
-3.821,-0.8
-3.8208,0
-3.8206,0
-3.8204,0
-3.8202,0
-3.82,0
-3.8198,0
-3.8196,0
-3.8194,0
-3.8192,0
-3.819,0
-3.8188,0.8
-3.8186,0
-3.8184,0.8
-3.8182,0.8
-3.818,0.8
-3.8178,1.6
-3.8176,0.8
-3.8174,0.8
-3.8172,1.6
-3.817,0.8
-3.8168,1.6
-3.8166,1.6
-3.8164,1.6
-3.8162,0.8
-3.816,0.8
-3.8158,1.6
-3.8156,0.8
-3.8154,0.8
-3.8152,0.8
-3.815,0.8
-3.8148,1.6
-3.8146,0.8
-3.8144,0.8
-3.8142,0.8
-3.814,0.8
-3.8138,1.6
-3.8136,0.8
-3.8134,0.8
-3.8132,0.8
-3.813,0.8
-3.8128,0.8
-3.8126,0.8
-3.8124,0.8
-3.8122,0.8
-3.812,0.8
-3.8118,1.6
-3.8116,0.8
-3.8114,1.6
-3.8112,0.8
-3.811,0.8
-3.8108,0
-3.8106,0.8
-3.8104,0.8
-3.8102,0.8
-3.81,0.8
-3.8098,0.8
-3.8096,0.8
-3.8094,0.8
-3.8092,0
-3.809,0
-3.8088,0
-3.8086,0
-3.8084,0
-3.8082,0
-3.808,0
-3.8078,0
-3.8076,0
-3.8074,0
-3.8072,0
-3.807,0
-3.8068,0
-3.8066,0
-3.8064,0
-3.8062,0
-3.806,-0.8
-3.8058,0
-3.8056,0
-3.8054,0
-3.8052,0
-3.805,-0.8
-3.8048,0
-3.8046,0
-3.8044,-0.8
-3.8042,0
-3.804,0
-3.8038,-0.8
-3.8036,0
-3.8034,0
-3.8032,0
-3.803,-0.8
-3.8028,0
-3.8026,0
-3.8024,0
-3.8022,0
-3.802,0
-3.8018,0
-3.8016,0
-3.8014,0
-3.8012,0
-3.801,0
-3.8008,0
-3.8006,0
-3.8004,0
-3.8002,0
-3.8,0
-3.7998,0
-3.7996,0
-3.7994,0
-3.7992,0
-3.799,0
-3.7988,0.8
-3.7986,0
-3.7984,0.8
-3.7982,0.8
-3.798,0.8
-3.7978,0.8
-3.7976,0.8
-3.7974,0.8
-3.7972,0.8
-3.797,1.6
-3.7968,0.8
-3.7966,0.8
-3.7964,1.6
-3.7962,1.6
-3.796,0.8
-3.7958,0.8
-3.7956,1.6
-3.7954,0.8
-3.7952,1.6
-3.795,0.8
-3.7948,0.8
-3.7946,0.8
-3.7944,0.8
-3.7942,0
-3.794,0.8
-3.7938,0.8
-3.7936,0.8
-3.7934,1.6
-3.7932,0.8
-3.793,0.8
-3.7928,0.8
-3.7926,0.8
-3.7924,0.8
-3.7922,0.8
-3.792,0.8
-3.7918,0.8
-3.7916,0.8
-3.7914,1.6
-3.7912,0.8
-3.791,0.8
-3.7908,0.8
-3.7906,0.8
-3.7904,0.8
-3.7902,0.8
-3.79,0.8
-3.7898,0.8
-3.7896,0
-3.7894,0.8
-3.7892,0
-3.789,0
-3.7888,0
-3.7886,0
-3.7884,0
-3.7882,0
-3.788,0
-3.7878,0
-3.7876,0
-3.7874,0
-3.7872,0
-3.787,0
-3.7868,0
-3.7866,0
-3.7864,0
-3.7862,0
-3.786,0
-3.7858,0
-3.7856,0
-3.7854,-0.8
-3.7852,0
-3.785,0
-3.7848,-0.8
-3.7846,-0.8
-3.7844,-0.8
-3.7842,-0.8
-3.784,0
-3.7838,-0.8
-3.7836,0
-3.7834,0
-3.7832,0
-3.783,-0.8
-3.7828,-0.8
-3.7826,0
-3.7824,0
-3.7822,0
-3.782,0
-3.7818,0
-3.7816,0
-3.7814,0
-3.7812,0
-3.781,0
-3.7808,0
-3.7806,0
-3.7804,0
-3.7802,0
-3.78,0
-3.7798,0
-3.7796,0
-3.7794,0
-3.7792,0
-3.779,0
-3.7788,0.8
-3.7786,0.8
-3.7784,0.8
-3.7782,0.8
-3.778,0.8
-3.7778,0.8
-3.7776,0.8
-3.7774,1.6
-3.7772,0.8
-3.777,0.8
-3.7768,0.8
-3.7766,0.8
-3.7764,0.8
-3.7762,0.8
-3.776,0.8
-3.7758,1.6
-3.7756,0.8
-3.7754,1.6
-3.7752,0.8
-3.775,0.8
-3.7748,0.8
-3.7746,0.8
-3.7744,0.8
-3.7742,1.6
-3.774,0.8
-3.7738,0.8
-3.7736,0.8
-3.7734,0.8
-3.7732,0.8
-3.773,0.8
-3.7728,0.8
-3.7726,0.8
-3.7724,1.6
-3.7722,0.8
-3.772,0.8
-3.7718,0.8
-3.7716,0.8
-3.7714,0.8
-3.7712,0.8
-3.771,0.8
-3.7708,0.8
-3.7706,0.8
-3.7704,0.8
-3.7702,0
-3.77,0.8
-3.7698,0
-3.7696,0.8
-3.7694,0.8
-3.7692,0
-3.769,0
-3.7688,0
-3.7686,0
-3.7684,0
-3.7682,0
-3.768,0
-3.7678,0
-3.7676,0
-3.7674,0
-3.7672,0
-3.767,0
-3.7668,0
-3.7666,0
-3.7664,0
-3.7662,0
-3.766,0
-3.7658,0
-3.7656,0
-3.7654,0
-3.7652,0
-3.765,0
-3.7648,-0.8
-3.7646,-0.8
-3.7644,-0.8
-3.7642,0
-3.764,-0.8
-3.7638,-0.8
-3.7636,-0.8
-3.7634,-0.8
-3.7632,-0.8
-3.763,-0.8
-3.7628,-0.8
-3.7626,-0.8
-3.7624,-0.8
-3.7622,-0.8
-3.762,0
-3.7618,-0.8
-3.7616,0
-3.7614,-0.8
-3.7612,-0.8
-3.761,0
-3.7608,0
-3.7606,0
-3.7604,0
-3.7602,0
-3.76,0
-3.7598,0
-3.7596,0
-3.7594,0
-3.7592,0
-3.759,0
-3.7588,0
-3.7586,0
-3.7584,0.8
-3.7582,0.8
-3.758,0.8
-3.7578,0.8
-3.7576,0.8
-3.7574,0.8
-3.7572,0.8
-3.757,1.6
-3.7568,1.6
-3.7566,1.6
-3.7564,1.6
-3.7562,1.6
-3.756,2.4
-3.7558,1.6
-3.7556,2.4
-3.7554,2.4
-3.7552,2.4
-3.755,1.6
-3.7548,1.6
-3.7546,1.6
-3.7544,1.6
-3.7542,1.6
-3.754,1.6
-3.7538,2.4
-3.7536,1.6
-3.7534,1.6
-3.7532,1.6
-3.753,1.6
-3.7528,1.6
-3.7526,1.6
-3.7524,1.6
-3.7522,0.8
-3.752,1.6
-3.7518,1.6
-3.7516,1.6
-3.7514,1.6
-3.7512,1.6
-3.751,0.8
-3.7508,0.8
-3.7506,0.8
-3.7504,0
-3.7502,0.8
-3.75,0.8
-3.7498,0.8
-3.7496,0.8
-3.7494,0.8
-3.7492,0
-3.749,0
-3.7488,0
-3.7486,0
-3.7484,0
-3.7482,0
-3.748,0
-3.7478,0
-3.7476,0
-3.7474,0
-3.7472,0
-3.747,0
-3.7468,0
-3.7466,0
